ISO3,Year,mean_st
AFG,1995,0.401
ALB,1995,-0.127
DZA,1995,0.619
ASM,1995,0.813
AND,1995,1.239
AGO,1995,0.827
AIA,1995,0.476
ATG,1995,0.522
ARG,1995,0.21
ARM,1995,0.73
ABW,1995,0.573
AUS,1995,0.377
AUT,1995,0.958
AZE,1995,1.014
BHS,1995,0.767
BHR,1995,0.238
BGD,1995,0.29
BRB,1995,0.355
BLR,1995,1.501
BEL,1995,
BLZ,1995,0.657
BEN,1995,0.454
BTN,1995,0.431
BOL,1995,0.856
BIH,1995,0.304
BWA,1995,1.286
BRA,1995,0.781
VGB,1995,0.43
BRN,1995,0.334
BGR,1995,0.26
BFA,1995,0.478
BDI,1995,
CPV,1995,1.561
KHM,1995,0.58
CMR,1995,0.526
CAN,1995,0.934
CYM,1995,1.044
CAF,1995,0.28
TCD,1995,0.283
CHL,1995,-0.109
HKG,1995,-0.041
MAC,1995,-0.041
CHN,1995,0.578
COL,1995,0.431
COM,1995,0.327
COD,1995,0.462
COG,1995,0.601
COK,1995,0.522
CRI,1995,0.271
HRV,1995,0.447
CUB,1995,1.047
CYP,1995,0.095
CZE,1995,1.058
DNK,1995,1.305
DJI,1995,0.763
DMA,1995,0.591
DOM,1995,0.786
ECU,1995,0.694
EGY,1995,0.156
SLV,1995,0.636
GNQ,1995,0.921
ERI,1995,
EST,1995,1.735
SWZ,1995,0.546
ETH,1995,0.815
FLK,1995,
FRO,1995,-0.219
FJI,1995,0.285
FIN,1995,1.724
FRA,1995,1.299
PYF,1995,0.441
GAB,1995,0.599
GMB,1995,1.055
GEO,1995,0.746
DEU,1995,1.308
GHA,1995,0.761
GIB,1995,1.344
GRC,1995,-0.001
GRL,1995,-0.345
GRD,1995,0.595
GLP,1995,0.526
GTM,1995,0.675
GUF,1995,0.833
GIN,1995,0.682
GNB,1995,1.016
GUY,1995,0.932
HTI,1995,0.889
VAT,1995,0.228
HND,1995,0.9
HUN,1995,0.65
ISL,1995,-0.349
IND,1995,0.208
IDN,1995,0.344
IRN,1995,0.692
IRQ,1995,0.276
IRL,1995,1.182
IMN,1995,1.153
ISR,1995,-0.23
ITA,1995,0.436
JAM,1995,0.932
JPN,1995,0.323
JOR,1995,-0.154
KAZ,1995,2.026
KEN,1995,0.376
KIR,1995,0.355
PRK,1995,0.739
KOR,1995,0.446
KWT,1995,0.192
KGZ,1995,0.46
LAO,1995,0.623
LVA,1995,1.61
LBN,1995,0.011
LSO,1995,0.709
LBR,1995,0.75
LBY,1995,0.26
LIE,1995,0.911
LTU,1995,1.521
LUX,1995,
MDG,1995,0.347
MWI,1995,0.74
MYS,1995,0.431
MDV,1995,0.707
MLI,1995,0.647
MLT,1995,0.42
MHL,1995,0.045
MTQ,1995,0.586
MRT,1995,1.171
MUS,1995,0.577
MYT,1995,0.314
MEX,1995,0.77
FSM,1995,0.042
MDA,1995,0.603
MCO,1995,0.665
MNG,1995,1.293
MNE,1995,
MSR,1995,0.522
MAR,1995,1.121
MOZ,1995,0.564
MMR,1995,0.661
NAM,1995,0.752
NRU,1995,
NPL,1995,0.354
NLD,1995,1.548
NCL,1995,0.448
NZL,1995,0.095
NIC,1995,0.756
NER,1995,0.585
NGA,1995,0.448
NIU,1995,
NFK,1995,0.463
MKD,1995,-0.018
NOR,1995,0.959
OMN,1995,0.321
PAK,1995,-0.051
PLW,1995,0.476
PAN,1995,0.19
PNG,1995,0.802
PRY,1995,0.548
PER,1995,0.881
PHL,1995,0.492
PCN,1995,-0.153
POL,1995,1.114
PRT,1995,1.673
PRI,1995,0.565
QAT,1995,0.145
ROU,1995,0.416
RUS,1995,2.113
RWA,1995,
SHN,1995,0.656
SPM,1995,-0.19
WSM,1995,0.728
SMR,1995,0.389
STP,1995,0.763
SAU,1995,0.138
SEN,1995,1.016
SRB,1995,
SYC,1995,0.496
SLE,1995,0.738
SGP,1995,0.571
SVK,1995,0.704
SVN,1995,0.846
SLB,1995,0.359
SOM,1995,0.672
ZAF,1995,0.644
SSD,1995,
ESP,1995,1.474
LKA,1995,0.68
KNA,1995,0.522
LCA,1995,0.558
VCT,1995,0.596
SDN,1995,
SUR,1995,1.017
SWE,1995,1.28
CHE,1995,0.993
SYR,1995,0.128
TWN,1995,0.126
TJK,1995,0.319
TZA,1995,0.268
THA,1995,0.698
TLS,1995,0.309
TGO,1995,0.552
TKL,1995,
TON,1995,0.357
TTO,1995,0.592
TUN,1995,0.687
TUR,1995,0.147
TKM,1995,1.378
TCA,1995,
TUV,1995,0.383
UGA,1995,0.475
UKR,1995,0.946
ARE,1995,0.023
GBR,1995,1.111
USA,1995,0.629
VIR,1995,0.451
URY,1995,0.315
UZB,1995,1.386
VUT,1995,0.268
VEN,1995,0.518
VNM,1995,0.354
WLF,1995,0.347
PSE,1995,-0.246
ESH,1995,1.291
WLD,1995,0.836
YEM,1995,
ZMB,1995,0.705
ZWE,1995,0.792
AFG,1996,-0.064
ALB,1996,0.014
DZA,1996,0.866
ASM,1996,0.743
AND,1996,0.523
AGO,1996,0.455
AIA,1996,0.229
ATG,1996,0.274
ARG,1996,0.476
ARM,1996,0.514
ABW,1996,0.727
AUS,1996,0.559
AUT,1996,-0.183
AZE,1996,0.246
BHS,1996,0.115
BHR,1996,0.68
BGD,1996,0.242
BRB,1996,0.198
BLR,1996,-0.275
BEL,1996,
BLZ,1996,0.113
BEN,1996,0.772
BTN,1996,0.204
BOL,1996,0.427
BIH,1996,-0.022
BWA,1996,-0.175
BRA,1996,0.506
VGB,1996,0.185
BRN,1996,0.221
BGR,1996,-0.329
BFA,1996,0.989
BDI,1996,
CPV,1996,1.684
KHM,1996,0.239
CMR,1996,0.525
CAN,1996,-0.124
CYM,1996,0.46
CAF,1996,0.267
TCD,1996,0.684
CHL,1996,0.153
HKG,1996,0.009
MAC,1996,0.009
CHN,1996,0.212
COL,1996,0.057
COM,1996,-0.135
COD,1996,0.036
COG,1996,0.078
COK,1996,0.404
CRI,1996,-0.194
HRV,1996,-0.011
CUB,1996,0.205
CYP,1996,0.288
CZE,1996,-0.588
DNK,1996,-0.747
DJI,1996,0.869
DMA,1996,0.365
DOM,1996,0.553
ECU,1996,0.029
EGY,1996,0.391
SLV,1996,0.183
GNQ,1996,0.466
ERI,1996,0.134
EST,1996,-0.368
SWZ,1996,-0.104
ETH,1996,0.775
FLK,1996,
FRO,1996,0.28
FJI,1996,0.425
FIN,1996,0.158
FRA,1996,0.163
PYF,1996,0.019
GAB,1996,0.13
GMB,1996,1.281
GEO,1996,0.196
DEU,1996,-0.698
GHA,1996,0.726
GIB,1996,0.771
GRC,1996,-0.127
GRL,1996,0.652
GRD,1996,0.344
GLP,1996,0.287
GTM,1996,0.17
GUF,1996,0.559
GIN,1996,0.957
GNB,1996,1.161
GUY,1996,0.559
HTI,1996,0.363
VAT,1996,0.389
HND,1996,0.12
HUN,1996,-0.316
ISL,1996,0.545
IND,1996,0.319
IDN,1996,0.387
IRN,1996,0.238
IRQ,1996,0.718
IRL,1996,-0.02
IMN,1996,-0.121
ISR,1996,0.258
ITA,1996,0.252
JAM,1996,0.252
JPN,1996,-0.154
JOR,1996,0.377
KAZ,1996,-0.418
KEN,1996,0.424
KIR,1996,0.258
PRK,1996,0.318
KOR,1996,-0.012
KWT,1996,0.908
KGZ,1996,-0.422
LAO,1996,0.143
LVA,1996,-0.428
LBN,1996,0.363
LSO,1996,-0.233
LBR,1996,0.677
LBY,1996,0.448
LIE,1996,-0.022
LTU,1996,-0.512
LUX,1996,
MDG,1996,0.128
MWI,1996,0.496
MYS,1996,0.325
MDV,1996,0.453
MLI,1996,1.225
MLT,1996,0.6
MHL,1996,0.139
MTQ,1996,0.376
MRT,1996,1.515
MUS,1996,0.304
MYT,1996,-0.046
MEX,1996,0.527
FSM,1996,0.164
MDA,1996,-0.694
MCO,1996,0.213
MNG,1996,0.434
MNE,1996,
MSR,1996,0.274
MAR,1996,0.895
MOZ,1996,0.091
MMR,1996,0.39
NAM,1996,-0.094
NRU,1996,
NPL,1996,0.278
NLD,1996,-0.772
NCL,1996,0.636
NZL,1996,0.234
NIC,1996,-0.049
NER,1996,1.2
NGA,1996,0.789
NIU,1996,
NFK,1996,0.818
MKD,1996,-0.108
NOR,1996,-0.044
OMN,1996,0.24
PAK,1996,-0.08
PLW,1996,0.527
PAN,1996,0.026
PNG,1996,0.572
PRY,1996,0.082
PER,1996,0.221
PHL,1996,0.377
PCN,1996,-0.366
POL,1996,-0.781
PRT,1996,0.757
PRI,1996,0.347
QAT,1996,0.564
ROU,1996,-0.418
RUS,1996,0.818
RWA,1996,
SHN,1996,0.456
SPM,1996,0.207
WSM,1996,0.668
SMR,1996,0.311
STP,1996,
SAU,1996,0.525
SEN,1996,1.288
SRB,1996,
SYC,1996,0.177
SLE,1996,0.786
SGP,1996,0.21
SVK,1996,-0.399
SVN,1996,-0.069
SLB,1996,0.123
SOM,1996,0.862
ZAF,1996,-0.133
SSD,1996,
ESP,1996,0.743
LKA,1996,0.505
KNA,1996,0.274
LCA,1996,0.343
VCT,1996,0.341
SDN,1996,
SUR,1996,0.492
SWE,1996,-0.145
CHE,1996,0.025
SYR,1996,0.43
TWN,1996,-0.056
TJK,1996,-0.415
TZA,1996,0.149
THA,1996,0.26
TLS,1996,0.295
TGO,1996,0.665
TKL,1996,
TON,1996,0.281
TTO,1996,0.382
TUN,1996,0.649
TUR,1996,0.274
TKM,1996,-0.067
TCA,1996,
TUV,1996,0.281
UGA,1996,0.373
UKR,1996,-0.42
ARE,1996,0.478
GBR,1996,-0.149
USA,1996,-0.009
VIR,1996,0.209
URY,1996,0.504
UZB,1996,-0.452
VUT,1996,0.376
VEN,1996,0.35
VNM,1996,-0.009
WLF,1996,0.396
PSE,1996,0.252
ESH,1996,1.337
WLD,1996,0.359
YEM,1996,
ZMB,1996,0.747
ZWE,1996,-0.2
AFG,1997,0.409
ALB,1997,0.117
DZA,1997,1.085
ASM,1997,
AND,1997,1.725
AGO,1997,0.3
AIA,1997,0.39
ATG,1997,0.431
ARG,1997,0.732
ARM,1997,0.668
ABW,1997,
AUS,1997,0.349
AUT,1997,0.533
AZE,1997,0.586
BHS,1997,0.877
BHR,1997,0.359
BGD,1997,-0.015
BRB,1997,0.175
BLR,1997,0.36
BEL,1997,
BLZ,1997,0.781
BEN,1997,0.588
BTN,1997,-0.358
BOL,1997,1.018
BIH,1997,0.129
BWA,1997,0.077
BRA,1997,0.694
VGB,1997,0.349
BRN,1997,0.571
BGR,1997,-0.306
BFA,1997,0.696
BDI,1997,
CPV,1997,1.74
KHM,1997,0.297
CMR,1997,0.672
CAN,1997,0.427
CYM,1997,1.015
CAF,1997,0.264
TCD,1997,0.251
CHL,1997,0.657
HKG,1997,0.264
MAC,1997,0.264
CHN,1997,0.741
COL,1997,0.431
COM,1997,0.154
COD,1997,0.747
COG,1997,
COK,1997,0.266
CRI,1997,0.661
HRV,1997,0.323
CUB,1997,0.794
CYP,1997,0.037
CZE,1997,0.155
DNK,1997,0.655
DJI,1997,0.763
DMA,1997,0.558
DOM,1997,0.819
ECU,1997,1.002
EGY,1997,0.022
SLV,1997,0.859
GNQ,1997,
ERI,1997,0.322
EST,1997,0.92
SWZ,1997,0.193
ETH,1997,0.713
FLK,1997,
FRO,1997,0.823
FJI,1997,0.169
FIN,1997,0.806
FRA,1997,1.213
PYF,1997,0.177
GAB,1997,0.318
GMB,1997,1.516
GEO,1997,0.284
DEU,1997,0.559
GHA,1997,0.544
GIB,1997,1.469
GRC,1997,-0.169
GRL,1997,0.371
GRD,1997,0.436
GLP,1997,0.46
GTM,1997,0.785
GUF,1997,0.685
GIN,1997,0.875
GNB,1997,1.355
GUY,1997,0.682
HTI,1997,1.078
VAT,1997,0.885
HND,1997,0.86
HUN,1997,-0.125
ISL,1997,0.417
IND,1997,-0.083
IDN,1997,0.397
IRN,1997,0.647
IRQ,1997,0.212
IRL,1997,0.966
IMN,1997,0.916
ISR,1997,-0.22
ITA,1997,0.943
JAM,1997,0.768
JPN,1997,0.425
JOR,1997,-0.286
KAZ,1997,1.87
KEN,1997,0.495
KIR,1997,0.052
PRK,1997,1.033
KOR,1997,0.741
KWT,1997,0.519
KGZ,1997,1.406
LAO,1997,0.333
LVA,1997,0.75
LBN,1997,-0.143
LSO,1997,0.214
LBR,1997,0.985
LBY,1997,0.401
LIE,1997,0.954
LTU,1997,0.526
LUX,1997,
MDG,1997,0.607
MWI,1997,0.656
MYS,1997,0.588
MDV,1997,0.58
MLI,1997,0.915
MLT,1997,1.016
MHL,1997,0.05
MTQ,1997,0.557
MRT,1997,1.261
MUS,1997,0.861
MYT,1997,0.314
MEX,1997,0.447
FSM,1997,0.079
MDA,1997,-0.464
MCO,1997,1.299
MNG,1997,1.968
MNE,1997,
MSR,1997,0.431
MAR,1997,1.207
MOZ,1997,0.214
MMR,1997,0.274
NAM,1997,-0.132
NRU,1997,
NPL,1997,-0.322
NLD,1997,0.617
NCL,1997,0.175
NZL,1997,-0.14
NIC,1997,0.699
NER,1997,0.806
NGA,1997,0.71
NIU,1997,
NFK,1997,
MKD,1997,-0.104
NOR,1997,0.779
OMN,1997,0.05
PAK,1997,-0.364
PLW,1997,
PAN,1997,0.458
PNG,1997,0.101
PRY,1997,0.876
PER,1997,0.899
PHL,1997,0.461
PCN,1997,-0.385
POL,1997,0.016
PRT,1997,1.596
PRI,1997,0.555
QAT,1997,0.13
ROU,1997,-0.416
RUS,1997,1.285
RWA,1997,
SHN,1997,0.895
SPM,1997,-0.285
WSM,1997,
SMR,1997,1.015
STP,1997,
SAU,1997,-0.047
SEN,1997,1.435
SRB,1997,
SYC,1997,0.661
SLE,1997,0.887
SGP,1997,0.776
SVK,1997,-0.239
SVN,1997,0.512
SLB,1997,0.021
SOM,1997,0.687
ZAF,1997,0.249
SSD,1997,
ESP,1997,1.553
LKA,1997,0.668
KNA,1997,0.431
LCA,1997,0.46
VCT,1997,0.435
SDN,1997,
SUR,1997,0.767
SWE,1997,1.002
CHE,1997,1.058
SYR,1997,-0.145
TWN,1997,0.065
TJK,1997,1.059
TZA,1997,0.519
THA,1997,0.426
TLS,1997,0.022
TGO,1997,0.57
TKL,1997,
TON,1997,0.209
TTO,1997,0.439
TUN,1997,1.305
TUR,1997,-0.005
TKM,1997,1.357
TCA,1997,
TUV,1997,0.329
UGA,1997,0.64
UKR,1997,-0.342
ARE,1997,-0.148
GBR,1997,0.875
USA,1997,0.391
VIR,1997,0.38
URY,1997,1.153
UZB,1997,1.531
VUT,1997,0.167
VEN,1997,0.36
VNM,1997,0.303
WLF,1997,0.169
PSE,1997,-0.227
ESH,1997,1.466
WLD,1997,0.657
YEM,1997,0.171
ZMB,1997,0.476
ZWE,1997,0.117
AFG,1998,0.585
ALB,1998,0.838
DZA,1998,1.142
ASM,1998,
AND,1998,0.942
AGO,1998,1.206
AIA,1998,0.975
ATG,1998,0.992
ARG,1998,0.32
ARM,1998,1.368
ABW,1998,
AUS,1998,1.048
AUT,1998,1.363
AZE,1998,1.188
BHS,1998,1.029
BHR,1998,1.417
BGD,1998,0.598
BRB,1998,0.967
BLR,1998,0.707
BEL,1998,
BLZ,1998,0.826
BEN,1998,1.067
BTN,1998,0.758
BOL,1998,1.014
BIH,1998,1.078
BWA,1998,1.036
BRA,1998,1.282
VGB,1998,0.957
BRN,1998,1.163
BGR,1998,0.807
BFA,1998,1.069
BDI,1998,0.881
CPV,1998,1.866
KHM,1998,1.268
CMR,1998,1.265
CAN,1998,2.47
CYM,1998,0.943
CAF,1998,1.253
TCD,1998,0.866
CHL,1998,0.621
HKG,1998,0.929
MAC,1998,0.929
CHN,1998,1.273
COL,1998,0.848
COM,1998,0.619
COD,1998,0.95
COG,1998,1.087
COK,1998,
CRI,1998,0.939
HRV,1998,1.166
CUB,1998,1.022
CYP,1998,0.984
CZE,1998,1.272
DNK,1998,0.865
DJI,1998,1.067
DMA,1998,0.98
DOM,1998,1.216
ECU,1998,1.185
EGY,1998,0.748
SLV,1998,0.939
GNQ,1998,1.029
ERI,1998,0.46
EST,1998,0.526
SWZ,1998,0.892
ETH,1998,0.806
FLK,1998,
FRO,1998,0.607
FJI,1998,0.755
FIN,1998,0.092
FRA,1998,0.913
PYF,1998,0.487
GAB,1998,1.111
GMB,1998,1.764
GEO,1998,1.259
DEU,1998,1.152
GHA,1998,1.193
GIB,1998,1.117
GRC,1998,0.654
GRL,1998,1.253
GRD,1998,0.988
GLP,1998,0.979
GTM,1998,0.962
GUF,1998,1.414
GIN,1998,1.213
GNB,1998,1.772
GUY,1998,1.284
HTI,1998,1.127
VAT,1998,0.967
HND,1998,1.091
HUN,1998,1.102
ISL,1998,0.223
IND,1998,0.569
IDN,1998,0.997
IRN,1998,1.157
IRQ,1998,1.187
IRL,1998,0.927
IMN,1998,0.921
ISR,1998,0.779
ITA,1998,0.966
JAM,1998,1.246
JPN,1998,1.173
JOR,1998,0.893
KAZ,1998,0.482
KEN,1998,0.228
KIR,1998,0.46
PRK,1998,1.839
KOR,1998,1.497
KWT,1998,1.345
KGZ,1998,0.778
LAO,1998,1.432
LVA,1998,0.643
LBN,1998,0.95
LSO,1998,0.887
LBR,1998,1.26
LBY,1998,0.693
LIE,1998,1.212
LTU,1998,0.747
LUX,1998,
MDG,1998,0.778
MWI,1998,0.937
MYS,1998,1.138
MDV,1998,0.919
MLI,1998,1.238
MLT,1998,0.84
MHL,1998,0.031
MTQ,1998,0.981
MRT,1998,1.767
MUS,1998,1.105
MYT,1998,0.716
MEX,1998,0.677
FSM,1998,0.339
MDA,1998,0.795
MCO,1998,0.913
MNG,1998,2.153
MNE,1998,
MSR,1998,0.992
MAR,1998,1.484
MOZ,1998,0.887
MMR,1998,1.208
NAM,1998,1.093
NRU,1998,
NPL,1998,0.405
NLD,1998,1.073
NCL,1998,1.606
NZL,1998,0.967
NIC,1998,0.975
NER,1998,0.818
NGA,1998,1.078
NIU,1998,
NFK,1998,
MKD,1998,0.785
NOR,1998,0.401
OMN,1998,0.996
PAK,1998,0.454
PLW,1998,
PAN,1998,0.786
PNG,1998,1.243
PRY,1998,0.155
PER,1998,1.288
PHL,1998,1.265
PCN,1998,-0.578
POL,1998,0.952
PRT,1998,1.212
PRI,1998,1.099
QAT,1998,1.238
ROU,1998,0.794
RUS,1998,-0.028
RWA,1998,0.881
SHN,1998,1.237
SPM,1998,0.824
WSM,1998,
SMR,1998,1.173
STP,1998,1.165
SAU,1998,0.97
SEN,1998,1.652
SRB,1998,
SYC,1998,1.02
SLE,1998,1.082
SGP,1998,1.169
SVK,1998,1.039
SVN,1998,1.408
SLB,1998,0.408
SOM,1998,0.854
ZAF,1998,0.846
SSD,1998,
ESP,1998,1.208
LKA,1998,1.296
KNA,1998,0.992
LCA,1998,0.982
VCT,1998,0.987
SDN,1998,
SUR,1998,1.382
SWE,1998,0.581
CHE,1998,1.103
SYR,1998,1.12
TWN,1998,1.121
TJK,1998,0.494
TZA,1998,0.445
THA,1998,1.463
TLS,1998,0.909
TGO,1998,1.095
TKL,1998,
TON,1998,0.323
TTO,1998,0.986
TUN,1998,1.042
TUR,1998,1.003
TKM,1998,0.949
TCA,1998,
TUV,1998,0.112
UGA,1998,0.473
UKR,1998,0.731
ARE,1998,1.16
GBR,1998,0.855
USA,1998,1.268
VIR,1998,0.981
URY,1998,0.168
UZB,1998,0.491
VUT,1998,0.817
VEN,1998,0.853
VNM,1998,1.304
WLF,1998,0.493
PSE,1998,0.775
ESH,1998,1.431
WLD,1998,0.992
YEM,1998,
ZMB,1998,1.017
ZWE,1998,0.932
AFG,1999,1.192
ALB,1999,0.718
DZA,1999,1.527
ASM,1999,0.219
AND,1999,0.964
AGO,1999,0.499
AIA,1999,0.456
ATG,1999,0.439
ARG,1999,0.138
ARM,1999,1.583
ABW,1999,
AUS,1999,0.56
AUT,1999,1.001
AZE,1999,1.239
BHS,1999,0.724
BHR,1999,2.06
BGD,1999,0.877
BRB,1999,0.351
BLR,1999,1.506
BEL,1999,
BLZ,1999,0.34
BEN,1999,0.641
BTN,1999,0.954
BOL,1999,0.461
BIH,1999,0.627
BWA,1999,0.736
BRA,1999,0.602
VGB,1999,0.473
BRN,1999,0.419
BGR,1999,0.717
BFA,1999,0.629
BDI,1999,
CPV,1999,0.881
KHM,1999,0.362
CMR,1999,0.787
CAN,1999,1.699
CYM,1999,0.472
CAF,1999,0.575
TCD,1999,0.596
CHL,1999,0.19
HKG,1999,0.942
MAC,1999,0.942
CHN,1999,1.237
COL,1999,-0.105
COM,1999,0.068
COD,1999,0.368
COG,1999,0.659
COK,1999,0.874
CRI,1999,-0.37
HRV,1999,0.713
CUB,1999,0.718
CYP,1999,1.118
CZE,1999,1.13
DNK,1999,1.335
DJI,1999,0.528
DMA,1999,0.408
DOM,1999,0.743
ECU,1999,0.189
EGY,1999,0.851
SLV,1999,0.339
GNQ,1999,0.547
ERI,1999,0.815
EST,1999,1.509
SWZ,1999,0.352
ETH,1999,0.314
FLK,1999,
FRO,1999,0.509
FJI,1999,0.535
FIN,1999,1.179
FRA,1999,1.167
PYF,1999,0.311
GAB,1999,0.566
GMB,1999,0.957
GEO,1999,1.241
DEU,1999,1.366
GHA,1999,0.625
GIB,1999,0.73
GRC,1999,0.824
GRL,1999,0.503
GRD,1999,0.445
GLP,1999,0.435
GTM,1999,0.661
GUF,1999,0.67
GIN,1999,0.567
GNB,1999,0.978
GUY,1999,0.462
HTI,1999,1.177
VAT,1999,0.822
HND,1999,0.451
HUN,1999,0.626
ISL,1999,0.489
IND,1999,0.448
IDN,1999,0.265
IRN,1999,1.634
IRQ,1999,1.805
IRL,1999,1.062
IMN,1999,1.103
ISR,1999,0.773
ITA,1999,0.92
JAM,1999,0.603
JPN,1999,0.919
JOR,1999,0.925
KAZ,1999,1.361
KEN,1999,0.218
KIR,1999,-0.196
PRK,1999,1.44
KOR,1999,1.069
KWT,1999,2.075
KGZ,1999,1.073
LAO,1999,0.663
LVA,1999,1.545
LBN,1999,1.043
LSO,1999,1.208
LBR,1999,0.747
LBY,1999,1.184
LIE,1999,0.977
LTU,1999,1.494
LUX,1999,
MDG,1999,0.425
MWI,1999,0.163
MYS,1999,0.385
MDV,1999,0.311
MLI,1999,0.414
MLT,1999,1.25
MHL,1999,-0.246
MTQ,1999,0.409
MRT,1999,0.536
MUS,1999,0.399
MYT,1999,0.161
MEX,1999,0.585
FSM,1999,-0.152
MDA,1999,0.912
MCO,1999,0.913
MNG,1999,1.793
MNE,1999,
MSR,1999,0.439
MAR,1999,1.028
MOZ,1999,0.234
MMR,1999,0.927
NAM,1999,0.646
NRU,1999,
NPL,1999,0.715
NLD,1999,1.579
NCL,1999,0.827
NZL,1999,1.006
NIC,1999,0.026
NER,1999,0.709
NGA,1999,0.812
NIU,1999,
NFK,1999,
MKD,1999,0.626
NOR,1999,1.276
OMN,1999,0.823
PAK,1999,0.847
PLW,1999,0.565
PAN,1999,-0.282
PNG,1999,0.306
PRY,1999,0.008
PER,1999,0.31
PHL,1999,0.508
PCN,1999,
POL,1999,1.206
PRT,1999,0.625
PRI,1999,0.557
QAT,1999,1.802
ROU,1999,0.627
RUS,1999,0.42
RWA,1999,
SHN,1999,1.395
SPM,1999,1.738
WSM,1999,0.145
SMR,1999,0.912
STP,1999,0.879
SAU,1999,1.442
SEN,1999,0.666
SRB,1999,
SYC,1999,0.31
SLE,1999,0.846
SGP,1999,0.521
SVK,1999,0.789
SVN,1999,0.912
SLB,1999,-0.006
SOM,1999,0.574
ZAF,1999,1.09
SSD,1999,
ESP,1999,0.837
LKA,1999,0.451
KNA,1999,0.439
LCA,1999,0.415
VCT,1999,0.442
SDN,1999,
SUR,1999,0.554
SWE,1999,1.38
CHE,1999,0.97
SYR,1999,1.239
TWN,1999,0.662
TJK,1999,1.023
TZA,1999,-0.31
THA,1999,0.429
TLS,1999,0.044
TGO,1999,0.587
TKL,1999,
TON,1999,0.24
TTO,1999,0.513
TUN,1999,1.799
TUR,1999,1.232
TKM,1999,1.287
TCA,1999,
TUV,1999,0.31
UGA,1999,-0.062
UKR,1999,1.16
ARE,1999,1.461
GBR,1999,1.127
USA,1999,0.755
VIR,1999,0.486
URY,1999,0.129
UZB,1999,1.304
VUT,1999,1.005
VEN,1999,0.191
VNM,1999,0.788
WLF,1999,0.372
PSE,1999,0.773
ESH,1999,0.999
WLD,1999,0.787
YEM,1999,
ZMB,1999,0.219
ZWE,1999,0.167
AFG,2000,1.039
